Day,Location,Min Delay,Bound
Wednesday,SPADINA AND QUEEN,10,W
Wednesday,SPADINA AND QUEEN,9,N
Wednesday,SPADINA AND QUEEN,9,N
Wednesday,SPADINA AND QUEEN,9,N
Wednesday,SPADINA AND QUEEN,9,W
Wednesday,DUNAD AND PARLIAMENT,9,E
Wednesday,BROADVIEW AND DUNDAS,9,E
Wednesday,GERRARD AND NORWOOD,9,W
Wednesday,SPADINA AND QUEEN,4,S
Wednesday,SPADINA AND QUEEN,4,N
Wednesday,SPADINA AND QUEEN,4,N
Wednesday,SPADINA AND QUEEN,6,N
Wednesday,SPADINA AND QUEEN,10,N
Wednesday,SPADINA AND QUEEN,16,N
Wednesday,GERRARD AND BROADVIEW,9,W
Wednesday,DUNDAS AND CHESTNUT,9,W
Wednesday,SPADINA AND DUNDAS,10,N
Wednesday,SPADINA AND DUNDAS,59,S
Wednesday,QUEEN AND YONGE,10,E
Wednesday,CHURCH AND ADELAIDE,6,S
Wednesday,KINGSTON AND KENILWORT,10,E
Wednesday,GLADSTONE AND QUEEN,6,S
Wednesday,DUFFERIN AND EVERSFIEL,5,S
Wednesday,ST CLAIR AND OLD WESTO,51,W
Wednesday,QUEEN AND DUFFERIN,34,E
Wednesday,UPPER GERRARD AND COXW,9,W
Wednesday,QUEEN AND DUFFERIN,6,W
Wednesday,QUEEN AND DUFFERIN,6,W
Wednesday,QUEEN AND DUFFERIN,6,E
Wednesday,QUEEN AND PARLIAMENT,60,W
Wednesday,BATHURST AND QUEEN,7,S
Wednesday,RONCESSVALE AND HOWARD,5,E
Wednesday,QUEEN AND SPADINA,34,E
Wednesday,461 CHERRY ST,26,E
